player,team,opponent,stat,line,league,startTime,isDemon,isGoblin,isPromo
Drake Maye,NE,,fantasy_score,18.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Sam Darnold,SEA,,fantasy_score,15.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Jaxon Smith-Njigba,SEA,,fantasy_score,19,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Rhamondre Stevenson,NE,,fantasy_score,12.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Kenneth Walker,SEA,,fantasy_score,16.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Jaxon Smith-Njigba,SEA,,rec_yards,129.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,124.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rush_yards,124.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,119.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,109.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rush_yards,109.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rush_yards,99.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,93.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Kenneth Walker,SEA,,rush_yards,89.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Rhamondre Stevenson,NE,,rush_yards,89.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Hunter Henry,NE,,rec_yards,79.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,79.5,NFL,2026-02-08T18:30:00.000-05:00,false,true,true
Rhamondre Stevenson,NE,,rush_yards,79.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Stefon Diggs,NE,,rec_yards,79.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rush_yards,76.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
Cooper Kupp,SEA,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Hunter Henry,NE,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,false,true,true
Kayshon Boutte,NE,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Rhamondre Stevenson,NE,,rush_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Stefon Diggs,NE,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
AJ Barner,SEA,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Mack Hollins,NE,,rec_yards,69.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
AJ Barner,SEA,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Cooper Kupp,SEA,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Drake Maye,NE,,rush_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Hunter Henry,NE,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Jaxon Smith-Njigba,SEA,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,false,true,true
Kayshon Boutte,NE,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rush_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,false,true,true
Mack Hollins,NE,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Rashid Shaheed,SEA,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Stefon Diggs,NE,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rec_yards,59.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Rhamondre Stevenson,NE,,rush_yards,55.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
AJ Barner,SEA,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Cooper Kupp,SEA,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Drake Maye,NE,,rush_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Hunter Henry,NE,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kayshon Boutte,NE,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Mack Hollins,NE,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Rashid Shaheed,SEA,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Rhamondre Stevenson,NE,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Stefon Diggs,NE,,rec_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
TreVeyon Henderson,NE,,rush_yards,49.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Stefon Diggs,NE,,rec_yards,43.5,NFL,2026-02-08T18:30:00.000-05:00,false,false,false
AJ Barner,SEA,,rec_yards,39.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Cooper Kupp,SEA,,rec_yards,39.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Drake Maye,NE,,rush_yards,39.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kayshon Boutte,NE,,rec_yards,39.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Kenneth Walker,SEA,,rec_yards,39.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
Mack Hollins,NE,,rec_yards,39.5,NFL,2026-02-08T18:30:00.000-05:00,true,false,true
